OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-3932,2022-051AS,2026-09-20T11:26:01.557888,15.34385493,.00012504,53.1610,317.5711,78.5604,281.5539,0,U,52576,999,24108,.14304291E-4,.107E-5,0
STARLINK-3836,2022-051AT,2026-09-20T09:35:37.593888,15.34390343,.00010455,53.1603,323.8346,74.9202,285.1917,0,U,52577,999,24099,.2216866E-4,.373E-5,0
STARLINK-3833,2022-051AU,2026-09-20T09:26:39.272640,15.34392029,.00013364,53.1619,324.4629,86.8710,273.2445,0,U,52578,999,24098,.12773333E-4,.55E-6,0
STARLINK-3919,2022-051AW,2026-09-20T21:52:12.838080,15.31696671,.00010784,53.1607,331.9167,82.7121,277.4003,0,U,52580,999,24092,.35941719E-4,.75E-5,0
STARLINK-3915,2022-051AX,2026-09-21T00:00:02.000160,15.34365515,.00011942,53.1596,315.1229,82.0264,315.2978,0,U,52581,999,572,.14363566E-2,.48414E-3,0
STARLINK-3895,2022-051AZ,2026-09-20T10:47:51.256320,15.35388746,.00011442,53.1610,316.7967,92.9481,267.1653,0,U,52583,999,24109,.26539396E-4,.545E-5,0
STARLINK-3922,2022-051BA,2026-09-20T22:19:57.901728,15.34823451,.00009078,53.1609,315.4361,102.1948,257.9157,0,U,52584,999,24115,-.19961079E-2,-.6812E-3,0
STARLINK-3906,2022-051BB,2026-09-20T09:43:37.413696,15.08831987,.00010815,53.1617,324.3087,80.1130,279.9983,0,U,52585,999,24098,-.16068108E-4,-.544E-5,0
STARLINK-3910,2022-051BC,2026-09-20T10:09:13.324032,15.35420997,.00010975,53.1605,318.0699,78.8810,281.2317,0,U,52586,999,24107,.79621614E-4,.24E-4,0
STARLINK-3867,2022-051BD,2026-09-20T20:36:36.064800,15.31697952,.00012138,53.1617,308.1858,78.4402,281.6736,0,U,52587,999,24125,.816976E-6,-.34E-5,0
STARLINK-3917,2022-051BE,2026-09-20T09:11:12.574752,15.35402093,.00011508,53.1612,318.6476,69.9491,290.1636,0,U,52588,999,24106,.39742552E-4,.1006E-4,0
STARLINK-4019,2022-052A,2026-09-20T21:21:21.403584,15.35359383,.0001285,53.1593,114.3992,95.6455,264.4695,0,U,52598,999,24123,.22905843E-3,.7607E-4,0
STARLINK-4024,2022-052B,2026-09-20T22:53:04.083072,15.31700161,.00011804,53.1580,107.2320,95.9046,264.2090,0,U,52599,999,24134,.22425952E-4,.331E-5,0
STARLINK-4026,2022-052C,2026-09-20T07:41:44.477952,15.31702241,.00013385,53.1592,112.6218,88.7604,271.3551,0,U,52600,999,24121,.30019883E-4,.566E-5,0
STARLINK-4027,2022-052D,2026-09-20T03:46:26.255712,15.35415967,.00013078,53.1613,117.1529,70.3063,289.8081,0,U,52601,999,24113,.80131511E-4,.2417E-4,0
STARLINK-4012,2022-052E,2026-09-20T03:42:58.472352,15.35402499,.00008512,53.1601,117.1789,108.7136,251.3959,0,U,52602,999,24113,-.39639383E-4,-.1763E-4,0
STARLINK-4016,2022-052F,2026-09-20T07:07:08.063904,15.31704932,.00012179,53.1583,109.7862,85.5610,274.5531,0,U,52603,999,24125,.13376575E-4,.5E-6,0
STARLINK-4013,2022-052G,2026-09-20T22:00:12.949056,15.35395701,.00011663,53.1611,113.4794,93.9200,266.1937,0,U,52604,999,24045,-.814912E-6,-.409E-5,0
STARLINK-4000,2022-052H,2026-09-20T06:54:36.221472,15.34383193,.00012805,53.1593,116.3832,87.3414,272.7735,0,U,52605,999,24035,-.20946674E-4,-.1083E-4,0
STARLINK-3928,2022-052J,2026-09-20T04:28:28.752960,15.17583444,.00014402,53.1610,121.7167,81.3271,278.7887,0,U,52606,999,24027,-.14873534E-4,-.617E-5,0
STARLINK-3947,2022-052K,2026-09-20T21:29:22.989408,15.31703485,.00012665,53.1592,115.9637,89.3544,270.7603,0,U,52607,999,24040,.23021103E-4,.349E-5,0
STARLINK-3979,2022-052L,2026-09-21T00:00:02.000160,15.34368337,.00013918,53.1595,113.7270,82.3632,113.6833,0,U,52608,999,578,.13714258E-2,.46199E-3,0
STARLINK-3997,2022-052M,2026-09-20T23:02:49.348896,15.34353910,.00015087,53.1617,113.2267,85.2552,274.8623,0,U,52609,999,24046,.20552957E-3,.6564E-4,0
STARLINK-3998,2022-052N,2026-09-20T21:19:54.955200,15.35389311,.00011555,53.1591,114.4709,93.1213,266.9922,0,U,52610,999,24042,-.3627741E-5,-.507E-5,0
STARLINK-3980,2022-052P,2026-09-20T07:39:39.854592,15.35391146,.00012183,53.1592,117.3933,91.5297,268.5846,0,U,52611,999,24034,.8433201E-5,-.86E-6,0
STARLINK-4002,2022-052Q,2026-09-20T23:05:50.240256,15.34388701,.00011806,53.1601,113.2173,92.5964,267.5174,0,U,52612,999,24046,.13770757E-4,.89E-6,0
STARLINK-3982,2022-052S,2026-09-20T13:30:05.095872,15.59338388,.00008661,53.2083,13.1076,219.4675,140.6276,0,U,52614,999,24184,.12205663E-2,.98657E-3,0
STARLINK-4011,2022-052T,2026-09-20T05:06:01.800576,15.35401111,.00010156,53.1591,117.4840,101.0741,259.0376,0,U,52615,999,24032,.31408467E-4,.715E-5,0
